Date,臺股指永昌96售03,臺股指永昌96售04,臺股指永昌96售05,臺股指永昌96售06,臺股指永昌96售07
2019-12-18,2.45,2.29,2.35,2.28,2.27
2019-12-19,2.47,2.36,2.35,2.29,2.28
2019-12-20,2.6,2.36,2.42,2.4,2.4
2019-12-23,2.6,2.44,2.52,2.4,2.37
2019-12-24,2.52,2.34,2.41,2.31,2.28
2019-12-25,2.53,2.36,2.41,2.32,2.18
2019-12-26,2.41,2.23,2.27,2.19,2.15
2019-12-27,2.42,2.24,1.93,2.19,1.81
2019-12-30,2.06,1.9,1.89,1.84,1.83
2019-12-31,2.08,1.91,1.89,1.85,1.93
2020-01-02,1.84,1.76,1.82,2.01,1.62
2020-01-03,1.92,1.81,1.97,1.82,1.69
2020-01-06,2.21,2.02,2.08,1.95,1.88
2020-01-07,2.46,2.02,2.08,1.95,2.07
2020-01-08,2.73,2.32,2.54,2.35,2.35
2020-01-09,2.14,1.89,2,1.78,1.73
2020-01-10,1.95,1.75,1.81,1.69,1.59
2020-01-13,1.6,1.47,1.46,1.33,1.28
2020-01-14,1.41,1.31,1.28,1.14,1.13
2020-01-15,1.67,1.48,1.5,1.18,1.31
2020-01-16,1.62,1.5,1.48,1.4,1.3
2020-01-17,1.61,1.5,1.48,1.3,1.23
2020-01-20,1.36,1.27,1.39,1.3,1.05
2020-01-30,4.18,3.72,1.25,2.6,3.24
2020-01-31,3.49,3.31,3.31,3.04,2.81
2020-02-03,4.61,4.11,3.99,3.67,3.42
2020-02-04,3.23,2.88,2.94,2.57,2.41
2020-02-05,3.14,2.74,2.72,2.57,2.36
2020-02-06,2.25,1.97,1.93,1.73,1.65
2020-02-07,3.12,2.76,2.6,2.26,2.54
2020-02-10,3.3,2.88,2.86,2.4,2.12
2020-02-11,2.5,2.13,2.05,1.88,1.72
2020-02-12,1.96,1.67,1.63,1.45,1.34
2020-02-13,2.06,1.68,1.58,1.41,1.31
2020-02-14,1.85,1.52,1.44,1.37,1.1
2020-02-17,1.95,1.72,1.58,1.25,1.28
2020-02-18,2.5,2.03,1.94,1.71,1.47
2020-02-19,2.3,2.03,1.5,1.28,1.16
2020-02-20,2.05,1.78,1.5,1.35,1.07
2020-02-21,2.41,2.01,1.8,1.5,1.3
2020-02-24,3,2.75,2.12,2,1.99
2020-02-25,3.4,2.42,2.22,2.8,2.5
2020-02-26,2.97,4,4,3.48,2.9
2020-02-27,3.8,3.5,4.96,4,3.5
2020-03-02,6,5,5,4.8,3.6
2020-03-03,4.5,4.55,4.5,4.75,2.9
2020-03-04,4.71,4.5,4.05,4.6,3.35
2020-03-05,4.2,3.7,3.7,3.3,3.3
2020-03-06,5,4.55,5,4.5,3.6
2020-03-09,12,9,9,9.5,10
2020-03-10,10,10,9,10,9.5
2020-03-11,13,13,6.35,5.6,4.64
2020-03-12,21,23,19,19,17
2020-03-13,28,28,27,33,28.1
2020-03-16,44,45,58,53,67
2020-03-17,58,60.5,79.5,86,90.5
2020-03-18,70,80,90,96,115
2020-03-19,100,105,145,152,175
2020-03-20,74,75,90,95,100
2020-03-23,92,75,105,95,100
2020-03-24,68,74.5,65,90,105
2020-03-25,46.3,46.4,53,55.5,50.5
2020-03-26,47,47,60.5,68,70
2020-03-27,52,47,65,55,81
2020-03-30,52,65,65,74,95
2020-03-31,52,54,64,70,79
2020-04-01,51,52,61,67,76
2020-04-06,51,52,61,52,76
2020-04-07,35,39,60,52,65
2020-04-08,30,33,60,41,60
2020-04-09,30,33,40,41,50
2020-04-10,30,33,39,41,49
2020-04-13,30,33,39,41,49
2020-04-14,30,33,39,41,48
2020-04-15,30,33,39,41,21
2020-04-16,20,30,30,25,21
2020-04-17,15,15,17,17,23
2020-04-20,15,15,17,17,21
2020-04-21,15.5,15.5,17,17,28
2020-04-22,23,23,26,27,28
2020-04-23,23.3,23.5,26.5,28,28
2020-04-24,21,21,23.5,25,28
2020-04-27,14.5,21,23.5,24.5,27
2020-04-28,14.5,14,16,17,17
2020-04-29,13.5,10.5,14.5,14.5,16
2020-04-30,8.6,8.5,9,9.5,10.5
2020-05-04,8.6,8.5,9,9.5,19.5
2020-05-05,5.95,4.84,16.8,17.8,19.5
2020-05-06,5.95,4.84,14,14.5,15.5
2020-05-07,12,11.5,13.5,14,15
2020-05-08,8.5,10,11,11,9
2020-05-11,8.5,8.5,9,9,9
2020-05-12,7.5,6.5,7,7,7
2020-05-13,7.5,6.5,7,7,7
2020-05-14,7.2,6.5,7,7,7
2020-05-15,8.5,5.95,8.5,8.9,7.5
2020-05-18,8,5.95,8,8,8.5
2020-05-19,8,8,8.2,8.2,5
2020-05-20,6,5.7,5.7,5.5,5
2020-05-21,3,2.5,2.5,2.2,4.2
2020-05-22,5.9,5,5.3,5.1,5
2020-05-25,5.9,5,3.5,2,2
2020-05-26,4,3,2,1.51,1.51
2020-05-27,4,3,2,1.2,1.21
2020-05-28,3,3,2,2.3,2.01
2020-05-29,2.5,2.1,2,1.8,1.7
2020-06-01,1.6,2.1,1.1,0.51,1.7
2020-06-02,1.6,1.4,0.7,0.3,0.6
2020-06-03,1.3,1.2,0.7,0.1,0.1
2020-06-04,0.51,0.51,0.7,0.1,0.15
2020-06-05,0.51,0.51,0.7,0.2,0.2
2020-06-08,0.51,0.51,0.7,0.2,0.2
2020-06-09,0.3,0.51,0.7,0.2,0.2
2020-06-10,0.3,0.51,0.7,0.2,0.2
2020-06-11,0.1,0.1,0.7,0.2,0.2
2020-06-12,0.01,0.1,0.7,0.2,0.2
2020-06-15,0.01,0.01,0.7,0.2,0.2
